first variable  second variable add_sum         multiply_sum    
           1945           2004           3949
           1945           1520           3465
           1945           1753           3698
           1945           1463           3408
           1945           1976           3921
           1945           1994           3939
           1945           1830           3775
           1945           1942           3887
           1945           1784           3729
           1945           1858           3803
           1945           1841           3786
           1945           1721           3666
           1945           1480           3425
           1945           1821           3766
           1945           1584           3529
           1945           978           2923
           1945           1530           3475
           1945           1278           3223
           1945           1827           3772
           1945           889           2834
           1945           1922           3867
           1945           1996           3941
           1945           1992           3937
           1945           1819           3764
           1945           1847           3792
           1945           2010           3955
           1945           2002           3947
           1945           210           2155
           1945           1924           3869
           1945           1482           3427
           1945           1451           3396
           1945           1867           3812
           1945           1364           3309
           1945           1578           3523
           1945           1623           3568
           1945           1117           3062
           1945           1594           3539
           1945           1476           3421
           1945           1879           3824
           1945           1797           3742
           1945           1952           3897
           1945           2005           3950
           1945           1734           3679
           1945           1898           3843
           1945           1880           3825
           1945           1330           3275
           1945           1854           3799
           1945           1813           3758
           1945           1926           3871
           1945           1686           3631
           1945           1286           3231
           1945           1808           3753
           1945           1876           3821
           1945           1366           3311
           1945           1995           3940
           1945           1632           3577
           1945           1699           3644
           1945           2001           3946
           1945           1365           3310
           1945           1343           3288
           1945           1979           3924
           1945           1868           3813
           1945           1815           3760
           1945           820           2765
           1945           1966           3911
           1945           1888           3833
           1945           1916           3861
           1945           1852           3797
           1945           1932           3877
           1945           1368           3313
           1945           1606           3551
           1945           1825           3770
           1945           1731           3676
           1945           1980           3925
           1945           1990           3935
           1945           1818           3763
           1945           1702           3647
           1945           1419           3364
           1945           1897           3842
           1945           1970           3915
           1945           1276           3221
           1945           1914           3859
           1945           1889           3834
           1945           1953           3898
           1945           1588           3533
           1945           1958           3903
           1945           1310           3255
           1945           1391           3336
           1945           1326           3271
           1945           1131           3076
           1945           1959           3904
           1945           1844           3789
           1945           1307           3252
           1945           1998           3943
           1945           1961           3906
           1945           1708           3653
           1945           1977           3922
           1945           1886           3831
           1945           1946           3891
           1945           1516           3461
           1945           1999           3944
           1945           1859           3804
           1945           1931           3876
           1945           1853           3798
           1945           1265           3210
           1945           1869           3814
           1945           1642           3587
           1945           1740           3685
           1945           1467           3412
           1945           1944           3889
           1945           1956           3901
           1945           1263           3208
           1945           1940           3885
           1945           1912           3857
           1945           1832           3777
           1945           1872           3817
           1945           1678           3623
           1945           1319           3264
           1945           1839           3784
           1945           1689           3634
           1945           1765           3710
           1945           1894           3839
           1945           1242           3187
           1945           1983           3928
           1945           1410           3355
           1945           1985           3930
           1945           1387           3332
           1945           1022           2967
           1945           1358           3303
           1945           860           2805
           1945           112           2057
           1945           1964           3909
           1945           1836           3781
           1945           1838           3783
           1945           1285           3230
           1945           1943           3888
           1945           1718           3663
           1945           1351           3296
           1945           760           2705
           1945           1925           3870
           1945           1842           3787
           1945           1921           3866
           1945           1967           3912
           1945           1822           3767
           1945           1978           3923
           1945           1837           3782
           1945           1378           3323
           1945           1618           3563
           1945           1266           3211
           1945           2003           3948
           1945           1972           3917
           1945           666           2611
           1945           1321           3266
           1945           1938           3883
           1945           1616           3561
           1945           1892           3837
           1945           831           2776
           1945           1865           3810
           1945           1314           3259
           1945           1571           3516
           1945           1806           3751
           1945           1225           3170
           1945           1882           3827
           1945           1454           3399
           1945           1257           3202
           1945           1381           3326
           1945           1284           3229
           1945           1907           3852
           1945           1950           3895
           1945           1887           3832
           1945           1492           3437
           1945           1934           3879
           1945           1709           3654
           1945           1315           3260
           1945           1574           3519
           1945           1794           3739
           1945           1576           3521
           1945           1883           3828
           1945           1864           3809
           1945           1981           3926
           1945           1317           3262
           1945           1397           3342
           1945           1325           3270
           1945           1620           3565
           1945           1895           3840
           1945           1485           3430
           1945           1828           3773
           1945           1803           3748
           1945           1715           3660
           1945           1374           3319
           1945           1251           3196
           1945           1460           3405
           1945           1863           3808
           1945           1581           3526
           1945           1499           3444
           1945           1933           3878
           1945           1982           3927
           1945           1809           3754
           2004           2004           4008
           2004           1520           3524
           2004           1753           3757
           2004           1463           3467
           2004           1976           3980
           2004           1994           3998
           2004           1830           3834
           2004           1942           3946
           2004           1784           3788
           2004           1858           3862
           2004           1841           3845
           2004           1721           3725
           2004           1480           3484
           2004           1821           3825
           2004           1584           3588
           2004           978           2982
           2004           1530           3534
           2004           1278           3282
           2004           1827           3831
           2004           889           2893
           2004           1922           3926
           2004           1996           4000
           2004           1992           3996
